SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0064809,1,6,86,2,6,1,19,22100,152,0,0,6,4,2,2,07513,1019518
2023GQ0065094,1,47,19,2,6,1,21,3700,0,5740,1,1,5,5,2,07508,1019518
2023GQ0065171,1,9,54,1,1,1,17,12500,79,0,0,6,1,5,1,07510,1019518
2023GQ0065352,1,97,67,1,2,1,17,0,0,0,0,6,1,5,1,07509,1019518
2023GQ0066149,1,112,48,2,1,24,19,23780,155,3602,2,1,1,3,1,07509,1019518
2023GQ0066220,1,185,67,1,2,1,17,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0066275,1,14,58,2,3,2,21,14900,95,4900,2,3,1,5,1,07511,1019518
2023GQ0066299,1,16,59,1,9,1,16,6200,40,0,0,6,4,5,2,07512,1019518
2023GQ0066460,1,54,94,2,6,1,19,19200,135,0,0,6,4,2,2,07514,1019518
2023GQ0066774,1,66,88,1,6,1,16,35300,0,0,0,6,5,2,2,07514,1019518
2023GQ0066777,1,60,19,1,1,1,16,3200,0,4720,1,2,1,5,1,07510,1019518
2023GQ0067321,1,173,84,1,1,1,17,33800,233,0,0,6,1,5,1,07510,1019518
2023GQ0067335,1,188,34,1,2,1,16,60000,385,9620,3,3,1,5,1,07511,1019518
2023GQ0067804,1,31,68,1,2,1,18,17100,0,0,0,6,1,2,1,07509,1019518
2023GQ0067988,1,21,67,1,1,1,16,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0068290,1,44,34,2,6,1,19,0,0,4020,1,6,5,1,2,07509,1019518
2023GQ0068422,1,181,61,1,2,1,17,0,0,0,0,6,1,3,1,07510,1019518
2023GQ0070352,1,76,21,1,8,2,19,13500,0,5400,1,1,1,5,1,07514,1019518
2023GQ0071147,1,74,69,1,1,1,16,12500,86,0,0,6,1,5,1,07513,1019518
2023GQ0071211,1,7,70,1,1,1,16,0,0,0,0,6,1,2,1,07508,1019518
2023GQ0071679,1,53,19,2,6,1,18,6000,0,4110,1,3,1,5,1,07508,1019518
2023GQ0071792,1,50,94,2,1,1,16,2000,0,0,0,6,1,5,1,07514,1019518
2023GQ0072023,1,70,18,2,9,1,18,0,0,2545,1,6,1,5,1,07513,1019518
2023GQ0072028,1,161,30,1,2,1,17,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0072032,1,15,73,2,1,1,21,13800,98,0,0,6,1,3,1,07514,1019518
2023GQ0072528,1,22,78,2,1,1,21,9100,64,0,0,6,1,5,1,07511,1019518
2023GQ0072594,1,61,20,2,1,1,16,5800,0,3960,2,1,1,5,1,07508,1019518
2023GQ0072750,1,281,37,2,6,1,23,400000,0,3090,1,1,5,1,2,07510,1019518
2023GQ0074528,1,22,67,1,2,1,19,6600,46,0,0,6,1,3,1,07511,1019518
2023GQ0074610,1,13,50,2,1,1,14,11900,76,6230,1,6,1,5,1,07511,1019518
2023GQ0074645,1,8,64,1,6,1,12,8500,0,0,0,6,4,3,2,07512,1019518
2023GQ0075229,1,151,41,1,1,1,21,0,0,4510,1,6,1,2,1,07511,1019518
2023GQ0076599,1,257,33,1,2,1,17,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0077130,1,54,18,2,1,2,18,4300,0,4720,1,6,1,5,1,07513,1019518
2023GQ0077796,1,68,18,2,6,1,16,3100,0,4720,8,3,1,5,1,07508,1019518
2023GQ0078001,1,16,82,1,1,1,19,15600,108,0,0,6,1,5,1,07507,1019518
2023GQ0078672,1,5,78,1,1,1,21,18400,126,0,0,6,1,5,1,07513,1019518
2023GQ0078767,1,205,61,1,2,1,17,0,0,0,0,6,1,5,1,07509,1019518
2023GQ0079124,1,44,29,1,1,2,16,75000,483,4040,1,2,1,5,1,07514,1019518
2023GQ0079247,1,54,61,1,2,1,17,0,0,0,0,6,1,5,1,07509,1019518
2023GQ0079529,1,75,18,1,1,1,16,8000,0,4055,1,1,1,5,1,07510,1019518
2023GQ0079827,1,37,31,1,1,1,22,120000,0,160,5,4,1,1,1,07509,1019518
2023GQ0079885,1,124,79,1,1,1,19,13500,94,0,0,6,1,5,1,07509,1019518
2023GQ0080026,1,32,86,2,2,1,20,0,0,0,0,6,1,2,1,07509,1019518
2023GQ0080203,1,45,20,2,8,11,19,25200,0,4110,1,1,1,5,1,07508,1019518
2023GQ0080376,1,41,20,1,6,1,19,0,0,4622,1,3,5,5,2,07508,1019518
2023GQ0080957,1,50,57,2,8,1,16,9000,0,0,0,6,1,5,1,07508,1019518
2023GQ0081322,1,2,75,1,8,1,16,7800,0,0,0,6,1,5,1,07508,1019518
2023GQ0081584,1,109,28,1,8,1,16,18700,120,4760,1,6,3,5,1,07511,1019518
2023GQ0081794,1,60,74,2,2,1,16,5100,35,0,0,6,1,5,1,07514,1019518
2023GQ0082198,1,42,70,1,6,1,9,15600,111,0,0,6,1,1,1,07509,1019518
